Sexo;País;Nivel de formación;Grado de urbanización;periodo;Total
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2024;19,60
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2023;20,20
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2022;20,60
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2021;21,00
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2020;21,00
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2019;21,50
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2018;22,20
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2017;22,80
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2016;23,40
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2015;23,90
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2014;24,50
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2013;25,30
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2012;26,30
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2011;27,00
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2010;27,80
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2009;28,40
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2008;29,00
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2007;29,70
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2006;30,40
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2005;31,00
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;TOTAL;2004;32,10
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2024;17,80
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2023;18,20
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2022;18,50
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2021;18,80
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2020;18,40
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2019;19,20
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2018;19,80
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2017;20,30
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2016;20,40
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2015;20,80
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2014;21,20
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2013;22,00
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2012;23,00
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2011;24,20
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2010;24,80
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2009;25,30
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2008;26,60
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2007;27,30
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2006;28,20
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2005;30,90
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas densamente pobladas;2004;31,80
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas intermedias;2024;21,80
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas intermedias;2023;22,50
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas intermedias;2022;23,10
AMBOS SEXOS;Unión Europea (27 países);1ª etapa E. Secundaria o inferior;Áreas intermedias;2021;23,30
